WBGene00008601	F09A5.4g	mob-2,F09A5.4
WBGene00012325	W07A12.8	W07A12.8
WBGene00008197	C49C3.7	C49C3.7
WBGene00016847	C50F7.9	C50F7.9
WBGene00021619	Y47D7A.6	Y47D7A.6
WBGene00000103	F28H6.1a	akt-2,F28H6.1
WBGene00018018	F33G12.6a	F33G12.6
WBGene00000103	F28H6.1b	akt-2,F28H6.1
WBGene00018018	F33G12.6b	F33G12.6
WBGene00003927	CD4.6	pas-6,CD4.6
WBGene00018538	F47B7.7a	marg-1,F47B7.7
WBGene00005025	C52E12.3	sqv-7,C52E12.3
WBGene00000733	F57B1.4	col-160,F57B1.4
WBGene00009561	F39D8.3a	F39D8.3
WBGene00018538	F47B7.7b	marg-1,F47B7.7
WBGene00009561	F39D8.3b	F39D8.3
WBGene00018950	F56C9.6a	F56C9.6
WBGene00009561	F39D8.3c	F39D8.3
WBGene00011120	R07E5.15	R07E5.15
WBGene00018950	F56C9.6b	F56C9.6
WBGene00009561	F39D8.3d	F39D8.3
WBGene00018950	F56C9.6c	F56C9.6
WBGene00014070	ZK678.4	srxa-9,ZK678.4
WBGene00002061	B0348.6a	ife-3,B0348.6
WBGene00002061	B0348.6b	ife-3,B0348.6
WBGene00002061	B0348.6c	ife-3,B0348.6
WBGene00008410	D2023.6	D2023.6
WBGene00015950	C18A11.4	C18A11.4
WBGene00194952	ZK666.14	ZK666.14
WBGene00015152	B0348.2a	B0348.2
WBGene00007341	C05D12.4	C05D12.4
WBGene00016208	C29E4.11	C29E4.11
WBGene00015152	B0348.2b	B0348.2
WBGene00004462	F57B9.10a	rpn-6.1,F57B9.10
WBGene00001028	F22B7.5a	dnj-10,F22B7.5
WBGene00004462	F57B9.10b	rpn-6.1,F57B9.10
WBGene00001028	F22B7.5b	dnj-10,F22B7.5
WBGene00015311	C01G5.9	C01G5.9
WBGene00017481	F15B10.3a	F15B10.3
WBGene00017481	F15B10.3b	F15B10.3
WBGene00017920	F29B9.2a	jmjd-1.2,F29B9.2
WBGene00009211	F28D1.1	wdr-46,F28D1.1
WBGene00017920	F29B9.2b	jmjd-1.2,F29B9.2
WBGene00008241	C50H2.5	C50H2.5
WBGene00017920	F29B9.2c	jmjd-1.2,F29B9.2
WBGene00005182	T09D3.5	srg-25,T09D3.5
WBGene00012030	T25G3.3	T25G3.3
WBGene00017642	F20D12.2	F20D12.2
WBGene00010828	M02B1.3a	M02B1.3
WBGene00022388	Y95B8A.8	Y95B8A.8
WBGene00010828	M02B1.3b	M02B1.3
WBGene00007693	C23H4.4a	C23H4.4
WBGene00007693	C23H4.4b	C23H4.4
WBGene00021215	Y18H1A.11a	Y18H1A.11
WBGene00010234	F58B3.9	ttr-50,F58B3.9
WBGene00021215	Y18H1A.11b	Y18H1A.11
WBGene00021215	Y18H1A.11c	Y18H1A.11
WBGene00021215	Y18H1A.11d	Y18H1A.11
WBGene00011187	R10D12.6	R10D12.6
WBGene00018516	F46G11.3	gakh-1,F46G11.3
WBGene00004353	F45B8.2	rgs-10,F45B8.2
WBGene00021945	Y55F3BR.8a	lem-4,Y55F3BR.8
WBGene00021945	Y55F3BR.8b	lem-4,Y55F3BR.8
WBGene00015742	C13F10.2	kxd-1,C13F10.2
WBGene00009314	F32B4.4a	F32B4.4
WBGene00021591	Y46D2A.3a	Y46D2A.3
WBGene00009314	F32B4.4b	F32B4.4
WBGene00017313	F09G2.4	cpsf-2,F09G2.4
WBGene00021591	Y46D2A.3b	Y46D2A.3
WBGene00009314	F32B4.4c	F32B4.4
WBGene00005249	C54D10.6	srh-25,C54D10.6
WBGene00005264	Y54G11A.12	srh-41,Y54G11A.12
WBGene00007980	C36E8.1	C36E8.1
WBGene00018505	F46F5.14	F46F5.14
WBGene00011739	T12G3.4	T12G3.4
WBGene00019869	R04E5.2	cnnm-2,R04E5.2
WBGene00009402	F35C11.3	F35C11.3
WBGene00010862	M04D8.4	M04D8.4
WBGene00007311	C04H4.1	C04H4.1
WBGene00008249	C51E3.3	srsx-28,C51E3.3
WBGene00021614	Y47A7.2	Y47A7.2
WBGene00001037	T05C3.5	dnj-19,T05C3.5
WBGene00010958	MTCE.4	ndfl-4,MTCE.4
WBGene00016591	C42C1.13a	C42C1.13
WBGene00004978	Y47G6A.10	spg-7,Y47G6A.10
WBGene00016591	C42C1.13b	C42C1.13
WBGene00009013	F21D5.8	mrps-33,F21D5.8
WBGene00004297	Y43C5A.6a	rad-51,Y43C5A.6
WBGene00004297	Y43C5A.6b	rad-51,Y43C5A.6
WBGene00005738	Y73B6BL.41	srv-27,Y73B6BL.41
WBGene00004297	Y43C5A.6c	rad-51,Y43C5A.6
WBGene00010032	F54B11.9	F54B11.9
WBGene00018028	F35B3.1	F35B3.1
WBGene00206497	Y52B11A.18	Y52B11A.18
WBGene00009478	F36F2.4	syx-7,F36F2.4
WBGene00077762	Y57G11C.499	Y57G11C.499
WBGene00020730	T23E1.3a	T23E1.3
WBGene00006744	F26C11.2	unc-4,F26C11.2
WBGene00022123	Y71F9AR.2	Y71F9AR.2
WBGene00015964	C18C4.1b	glb-5,C18C4.1
WBGene00020730	T23E1.3b	T23E1.3
WBGene00015071	B0238.7	B0238.7
WBGene00015964	C18C4.1d	glb-5,C18C4.1
WBGene00008079	C44B9.2	C44B9.2
WBGene00014066	ZK675.2	rev-1,ZK675.2
WBGene00019400	K04G7.1	K04G7.1
WBGene00019861	R04A9.1	R04A9.1
WBGene00003584	C43E11.7	ndx-7,C43E11.7
WBGene00017969	F32A5.3	ctsa-3.1,F32A5.3
WBGene00010817	M01G12.2	M01G12.2
WBGene00003149	T04C10.1	mbk-1,T04C10.1
WBGene00016182	C28C12.12	C28C12.12
WBGene00009041	F22B5.3	cut-3,F22B5.3
WBGene00022508	ZC53.1	ZC53.1
WBGene00002007	C15H9.6a	hsp-3,C15H9.6
WBGene00194835	Y17G9B.11a	Y17G9B.11
WBGene00001717	ZC487.5	grl-8,ZC487.5
WBGene00002007	C15H9.6b	hsp-3,C15H9.6
WBGene00194835	Y17G9B.11b	Y17G9B.11
WBGene00194742	F37C12.21	F37C12.21
WBGene00016857	C50H11.11	srt-16,C50H11.11
WBGene00009152	F26D2.14	F26D2.14
WBGene00019001	F57B10.3a	ipgm-1,F57B10.3
WBGene00019001	F57B10.3b	ipgm-1,F57B10.3
WBGene00014205	ZK1058.5	ZK1058.5
